method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7
stainfree,0.7454545454545455,0.7288307477023985,0.7454545454545455,1,1,0,0,0,0,0,0,0
stainfree,0.6794258373205742,0.668751835624522,0.6794258373205742,2,1,0,0,0,0,0,0,0
stainfree,0.8765550239234449,0.872123176368473,0.876555023923445,3,1,0,0,0,0,0,0,0
stainfree,0.7617224880382775,0.7517234697089809,0.7617224880382775,4,1,0,0,0,0,0,0,0
stainfree,0.8784688995215311,0.8756825206577953,0.8784688995215311,5,1,0,0,0,0,0,0,0
PXPermute,0.9444976076555024,0.9436770163518887,0.9444976076555024,1,1,0,0,0,1,1,1,0
PXPermute,0.9330143540669856,0.9310505686781807,0.9330143540669856,2,1,0,0,0,1,1,1,0
PXPermute,0.9444976076555024,0.9425878610447845,0.9444976076555024,3,1,0,0,0,1,1,1,0
PXPermute,0.9320574162679426,0.930966167311223,0.9320574162679426,4,1,0,0,0,1,1,1,0
PXPermute,0.9205741626794258,0.9171410131777993,0.9205741626794258,5,1,0,0,0,1,1,1,0
all_channels,0.9521531100478469,0.9514843918898692,0.9521531100478469,1,1,1,1,1,1,1,1,1
all_channels,0.9368421052631579,0.9349472039973973,0.9368421052631579,2,1,1,1,1,1,1,1,1
all_channels,0.9569377990430622,0.9558339087733204,0.9569377990430622,3,1,1,1,1,1,1,1,1
all_channels,0.9253588516746412,0.9239550494012422,0.9253588516746412,4,1,1,1,1,1,1,1,1
all_channels,0.9301435406698565,0.9275442455679327,0.9301435406698565,5,1,1,1,1,1,1,1,1
