,method,f1_micro,f1_macro,accuracy
0,PXPermute,0.9966661110185031,0.9911553569883231,0.9966661110185031
1,PXPermute,0.9948324720786798,0.9853828201659289,0.9948324720786798
2,PXPermute,0.9959993332222037,0.9889256136540409,0.9959993332222037
3,PXPermute,0.9953325554259043,0.9881535174321301,0.9953325554259043
4,PXPermute,0.9964988329443147,0.989945267987495,0.9964988329443147
5,DeepLift,0.9931655275879313,0.9785161958179459,0.9931655275879313
6,DeepLift,0.9916652775462577,0.971762552324745,0.9916652775462577
7,DeepLift,0.9923320553425571,0.9727499322053419,0.9923320553425571
8,DeepLift,0.9921653608934823,0.9735130127854574,0.9921653608934823
9,DeepLift,0.9936645548516172,0.9785414285806916,0.9936645548516172
10,LRP,0.976162693782297,0.9167994430893942,0.976162693782297
11,LRP,0.9748291381896983,0.9167099852657167,0.9748291381896983
12,LRP,0.9731621936989499,0.9100477194034362,0.9731621936989499
13,LRP,0.977329554925821,0.926899625557314,0.977329554925821
14,LRP,0.9769923307769256,0.9220274438945063,0.9769923307769256
15,GuidedGradCAM,0.9611601933655609,0.8925490303399626,0.9611601933655609
16,GuidedGradCAM,0.9644940823470578,0.8933364594057681,0.9644940823470578
17,GuidedGradCAM,0.9693282213702283,0.9030471015108003,0.9693282213702283
18,GuidedGradCAM,0.966494415735956,0.9009891865897794,0.966494415735956
19,GuidedGradCAM,0.9664888296098699,0.8986224241463387,0.9664888296098699
20,IntegratedGradients,0.9926654442407068,0.9760066924083557,0.9926654442407068
21,IntegratedGradients,0.9911651941990332,0.968857970896678,0.9911651941990332
22,IntegratedGradients,0.9909984997499584,0.9678707149144213,0.9909984997499584
23,IntegratedGradients,0.9918319719953326,0.9721669243259292,0.9918319719953326
24,IntegratedGradients,0.9924974991663887,0.973632668129413,0.9924974991663887
