method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11
stainfree,0.9331841432225064,0.8381460060923485,0.9331841432225064,1,1,0,0,0,0,1,0,0,1,0,0,0
stainfree,0.9339833759590793,0.8383877246547672,0.9339833759590793,2,1,0,0,0,0,1,0,0,1,0,0,0
stainfree,0.9375,0.8557241651592267,0.9375,3,1,0,0,0,0,1,0,0,1,0,0,0
stainfree,0.9565217391304348,0.8933098774591761,0.9565217391304348,4,1,0,0,0,0,1,0,0,1,0,0,0
stainfree,0.9154411764705882,0.7947581645938939,0.9154411764705882,5,1,0,0,0,0,1,0,0,1,0,0,0
PXPermute,0.9854539641943734,0.9611029519786969,0.9854539641943734,1,1,0,0,0,0,1,0,0,1,1,1,1
PXPermute,0.9937659846547314,0.9830753657891064,0.9937659846547314,2,1,0,0,0,0,1,0,0,1,1,1,1
PXPermute,0.9868925831202046,0.9638889650100835,0.9868925831202046,3,1,0,0,0,0,1,0,0,1,1,1,1
PXPermute,0.9900895140664961,0.9752353685549389,0.9900895140664961,4,1,0,0,0,0,1,0,0,1,1,1,1
PXPermute,0.9907289002557544,0.974162478244246,0.9907289002557544,5,1,0,0,0,0,1,0,0,1,1,1,1
all_channels,0.9912084398976982,0.9772557545238408,0.9912084398976982,1,1,1,1,1,1,1,1,1,1,1,1,1
all_channels,0.9892902813299232,0.9723178518193557,0.9892902813299232,2,1,1,1,1,1,1,1,1,1,1,1,1
all_channels,0.9902493606138107,0.9750898659053271,0.9902493606138107,3,1,1,1,1,1,1,1,1,1,1,1,1
all_channels,0.9902493606138107,0.9754510461396433,0.9902493606138107,4,1,1,1,1,1,1,1,1,1,1,1,1
all_channels,0.9900895140664961,0.9746425584903338,0.9900895140664961,5,1,1,1,1,1,1,1,1,1,1,1,1
